River;Hydropeaking river-type;Hydropeaking, residual flow, natural/near-natural;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Transect;Sampling point;Time of survey;"Distance ""Wasseranschlaglinie"" [m]";Flow velocity [v60, cm/s];Category Flow velocity (5 Bewohnbarkeits-klasse);Water depth [cm];Category Water depth;Clogging (6 Klassen);Clogging (3 Klassen);Substrate type;"Algae cover (Bewuchsdichte; 5 Kategorien:1-5)";"Moos cover (Deckungsgrad; 6 Kategorien:0-5)";"CPOM cover (Deckungsgrad; 5 Kategorien:1-5)";RTK-GPS Nr.;MZB kick-net taken by;Varia;;River;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Time of survey;pH;Conductivity [μs/s];Oxygen content [mg/l];Oxygen saturation [%];Turbidity [FNU];Temperature [°C];Discharge [m3/s];Water gauge [MüM];Gauging station;Varia
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;2;1;15:30;0.40;5;3;11;;none;none;250 mm > x > 25 mm;1;0;1;6;Denise;;;Saane;SA3;Diego, Bettina;26.03.2022;09:25;8.22;445.0;12.25;;1.96;5.9;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;2;2;15:15;1.60;60;5;34;;none;none;250 mm > x > 25 mm;2;0;1;5;Diego;Algen auf vereinzelte Steine;;Saane;SA3;Diego, Bettina;26.03.2022;10:20;8.21;441.0;12.28;;1.75;6.9;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;2;3;15:20;6.20;129;4;53;;none;none;> 250 mm;2;0;1;4;Diego;Algen auf vereinzelte Steine;;Saane;SA3;Diego, Bettina;26.03.2022;11:20;8.92;441.0;12.67;;1.83;7.5;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;3;1;15:45;0.50;5;3;9;;none;none;25 mm > x > 2.5 mm;1;0;1;9;Diego;;;Saane;SA4;Diego, Olivier;26.03.2022;13:00;8.67;486.0;12.88;;1.19;8.6;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;3;2;15:40;2.90;91;4;53;;none;none;> 250 mm;1;0;1;8;Diego;Schwierig zu beproben;;Saane;SA4;Diego, Olivier;26.03.2022;13:35;8.58;485.0;13.67;;2.29;9.2;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;3;3;15:35;5.70;76;4;67;;none;none;250 mm > x > 25 mm;1;0;1;7;Diego;Schwierig zu beproben;;Saane;SA4;Diego, Olivier;26.03.2022;14:30;8.73;494.0;13.18;;1.85;8.9;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;4;1;16:20;0.55;5;3;8;;none;none;25 mm > x > 2.5 mm;1;0;1;12;Diego;"GPS ""richtig"" nehmen";;Saane;SA5;Diego, Bettina;26.03.2022;15:40;8.37;437.0;11.36;;3.28;7.1;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;4;2;16:15;5.60;51;5;45;;none;none;250 mm > x > 25 mm;1;0;1;11;Denise;"GPS ""richtig"" nehmen";;Saane;SA5;Diego, Bettina;26.03.2022;16:15;8.72;441.0;11.35;;3.32;6.8;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;4;3;16:05;7.15;45;5;49;;none;none;250 mm > x > 25 mm;1;0;1;10;Denise;"GPS ""richtig"" nehmen";;Saane;SA5;Diego, Bettina;26.03.2022;17:30;8.47;443.0;11.17;;4.00;6.4;5.200;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M6;Diego, Manuel;05.03.2022;1;1;09:15;0.60;1;1;18;;none;none;< 2.5 mm;1;0;1;3;Diego;Mit 5;;Saane;SA6;Diego, Bettina;27.03.2022;09:35;8.42;468.0;12.33;;1.93;5.7;18.000;480.71;Saane-Laupen;
