River;River type;Hydropeaking, residual flow, natural/near-natural;Study site (Untersuchungsstelle);KW;Catchment at KW-outlet [km²];Catchment size from study site [km²];Unaffected Mean Flow at KW-outlet [m³/s];Unaffected Mean Flow at study site [m³/s];Discharge from FGT [m³/s];IBCHQREGIM;Ecomorphological Class;Strahler order;Altitude KW [m.a.s.l.];Altitude study site [m.a.s.l.];Distance of study site to KW [km];Number of tributaries [nr];(Upstream) Distance between consecutive study areas [m];Number of tributaries [nr/km];Longitudinal Slope (mean) at study site [‰];Transversal Slope (mean) at study site [‰];Transversal Slope (st.dev.) at study site [‰];Glacier Cover [%];Agricultural Areas [%] - Sum of a, o, v, h;Settlement areas [%];Number of inhabitants;Domestic wastewater discharge;Geology;BIOGEO;Mean diffuse total nitrogen [kg/ha a];Mean diffuse total phosphor [kg/ha a]
Saane;-;Residual flow;SAR;Schiffenen;1406.22;980.6;-;-;37.56163025;8;-;7;484;568.0939167;-24.94;0;5000;0.000;10.48966521;27.45264533;9.974869507;0.25;1.86;4.63;69344.00;300.97;karbonatisch;Central Plateau;8.54;0.590784144
Sense;-;Natural/near-natural;SE1;;-;183.5553;-;7.8299999;7.829999924;8;1;6;-;578.81175;-;0;5000;0.000;11.52;7.479661376;70.84410281;0.00;5.55;3.57;4554.00;19.77;karbonatisch;Central Plateau;10.86;0.829203592
Sense;-;Natural/near-natural;SE2;;-;313.5742;-;7.8299999;7.829999924;8;1;7;-;574.216;-;1;533;1.876;9.65;68.05138386;86.06774816;0.00;9.09;4.18;4554.00;19.77;karbonatisch;Central Plateau;12.55;0.701935904
Sense;-;Natural/near-natural;SE3;;-;350.7624;-;8.5100002;0.000538774;17;2;7;-;552.1311667;-;1;2730;0.366;6.29;33.47900286;26.23350712;0.00;12.15;4.58;4554.00;19.77;karbonatisch;Central Plateau;13.85;0.691964937
Sense;-;Natural/near-natural;SE4;;-;431.812;-;9.8100004;9.81000042;8;3;7;-;487.4075;-;1;9150;0.109;6.07;40.75130997;23.59384165;0.00;17.95;5.95;4554.00;19.77;karbonatisch;Central Plateau;16.01;0.659670205
Sitter;-;Residual flow;SR;Kubel;256.61;174.9167;10.68;6.77;6.769999981;8;2;6;587;597.31725;-1.41;2;5000;0.400;22.79813893;126.2656147;44.3939052;0.16;0.26;6.93;24240.00;105.21;karbonatisch;Northern Alps;11.06;1.284759949
Ticino;2a;Hydropeaking;T1;Biasca;884.89;1514.822;-;-;66.8616333;14;3;6;267;229.87775;16.06;2;1428;1.400;0.770942393;24.8620049;5.081503596;0.26;0.45;3.00;18716.00;81.23;-;Southern Alps;7.05;0.749884713
Ticino;2a;Hydropeaking;T1;Nuova Biaschina;442.1;1514.822;22.17;-;66.8616333;14;3;6;300;229.87775;21.38;2;1428;1.400;0.770942393;24.8620049;5.081503596;0.26;0.45;3.00;18716.00;81.23;-;Southern Alps;7.05;0.749884713
Ticino;2a;Hydropeaking;T2;Biasca;884.89;1012.989;-;-;45.83816528;14;2;6;267;232.4770833;14.43;9;12515;0.719;1.175848382;42.35310175;28.58122742;0.35;0.55;3.19;15987.00;69.39;karbonatisch;Southern Alps;7.18;0.895806443
Ticino;2a;Hydropeaking;T2;Nuova Biaschina;442.1;1012.989;22.17;-;45.83816528;14;2;6;300;232.4770833;19.74;9;12515;0.719;1.175848382;42.35310175;28.58122742;0.35;0.55;3.19;15987.00;69.39;karbonatisch;Southern Alps;7.18;0.895806443
