"","Reach_Untersuchungsstelle","Transect","Sampling_point","Time_of_survey","DIstance_Wasseranschlaglinie_m","Flow_velocity_v60_cm/s","Category_Flow_velocity_5_Bewohnbarkeits-klasse","Water_depth_cm","Category_Water_depth","Clogging_6_Klassen","Clogging_3_Klassen","Substrate_type","Algae_cover_Bewuchsdichte_5_Kategorien_1-5","Moos_cover_Deckungsgrad_6_Kategorien_0-5","CPOM_cover_Deckungsgrad_5_Kategorien_1-5","RTK-GPS_Nr","MZB_kick-net_taken_by","Oxygen_saturation_%_before","Oxygen_saturation_%_during","Oxygen_saturation_%_after","x","y","z","Sampling_site","lab$EPT_Taxa","k_index"
"642","SE4",2,3,09:55:00,12.8,205,NA,72,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",NA,NA,NA,"2585051.068",1194426.129,487.203,NA,0,0
"643","SE4",3,1,10:35:00,2,69,NA,26,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",NA,NA,NA,"2585087.587",1194421.525,487.695,NA,0,0
"644","SE4",3,2,10:30:00,4.35,161,NA,49,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",NA,NA,NA,"2585086.234",1194419.368,487.492,NA,0,0
"645","SE4",3,3,10:20:00,7.55,191,NA,63,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",NA,NA,NA,"2585084.534",1194416.732,487.335,NA,0,0
"646","SE4",4,1,10:55:00,2.85,86,NA,31,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",NA,NA,NA,"2585105.896",1194414.851,487.826,NA,0,0
"647","SE4",4,2,10:50:00,5.3,127,NA,48,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,11,"Diego",NA,NA,NA,"2585104.828",1194412.37,487.684,NA,0,0
"648","SE4",4,3,10:45:00,8.2,224,NA,64,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",NA,NA,NA,"2585103.081",1194409.948,487.496,NA,0,0
"649","TH1",1,1,15:15:00,1.95,44,NA,43,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",98.7,99.4,100.7,"2728349.102",1235430.698,640.279,NA,0,0
"650","TH1",1,2,15:10:00,4.2,102,NA,74,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",98.7,99.4,100.7,"2728347.229",1235429.058,640.016,NA,0,0
"651","TH1",1,3,15:05:00,6.25,116,NA,94,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",98.7,99.4,100.7,"2728345.096",1235428.392,639.852,NA,0,0
